Country Name,County Name
England,London
England,Bedfordshire
England,Buckinghamshire
England,Cambridgeshire
England,Cheshire
England,Cornwall and Isles of Scilly
England,Cumbria
England,Derbyshire
England,Devon
England,Dorset
England,Durham
England,East Sussex
England,Essex
England,Gloucestershire
England,Greater London
England,Greater Manchester
England,Hampshire
England,Hertfordshire
England,Kent
England,Lancashire
England,Leicestershire
England,Lincolnshire
England,Merseyside
England,Norfolk
England,North Yorkshire
England,Northamptonshire
England,Northumberland
England,Nottinghamshire
England,Oxfordshire
England,Shropshire
England,Somerset
England,South Yorkshire
England,Staffordshire
England,Suffolk
England,Surrey
England,Tyne and Wear
England,Warwickshire
England,West Midlands
England,West Sussex
England,West Yorkshire
England,Wiltshire
England,Worcestershire
Wales,Flintshire
Wales,Glamorgan
Wales,Merionethshire
Wales,Monmouthshire
Wales,Montgomeryshire
Wales,Pembrokeshire
Wales,Radnorshire
Wales,Anglesey
Wales,Breconshire
Wales,Caernarvonshire
Wales,Cardiganshire
Wales,Carmarthenshire
Wales,Denbighshire
Scotland,Kirkcudbrightshire
Scotland,Lanarkshire
Scotland,Midlothian
Scotland,Moray
Scotland,Nairnshire
Scotland,Orkney
Scotland,Peebleshire
Scotland,Perthshire
Scotland,Renfrewshire
Scotland,Ross & Cromarty
Scotland,Roxburghshire
Scotland,Selkirkshire
Scotland,Shetland
Scotland,Stirlingshire
Scotland,Sutherland
Scotland,West Lothian
Scotland,Wigtownshire
Scotland,Aberdeenshire
Scotland,Angus
Scotland,Argyll
Scotland,Ayrshire
Scotland,Banffshire
Scotland,Berwickshire
Scotland,Bute
Scotland,Caithness
Scotland,Clackmannanshire
Scotland,Dumfriesshire
Scotland,Dumbartonshire
Scotland,East Lothian
Scotland,Fife
Scotland,Inverness
Scotland,Kincardineshire
Scotland,Kinross-shire
